game_id,seed,prompt_style,winner,rounds,seer_claimed,doctor_publicly_identified,no_kill_nights,total_holds,first_elimination_player,first_elimination_role
d940b587,5682558,strategic,WOLVES_WIN,2,True,False,0,4,P5,VILLAGER
131e1d4b,2283728,neutral,VILLAGERS_WIN,4,False,False,1,10,P4,WOLF
3ff2268b,5983252,neutral,WOLVES_WIN,2,False,False,0,0,P2,SEER
1ff4b204,6299577,neutral,WOLVES_WIN,3,False,False,1,9,P4,VILLAGER
df2961cc,1200340,strategic,WOLVES_WIN,2,False,False,1,2,P3,SEER
5f85b022,8087954,strategic,WOLVES_WIN,2,False,False,0,1,P2,VILLAGER
0aa958b2,887829,neutral,WOLVES_WIN,4,False,False,2,4,P4,SEER
01df074b,6299577,strategic,VILLAGERS_WIN,3,False,False,0,4,P3,WOLF
9e483985,5983252,strategic,VILLAGERS_WIN,3,True,False,2,0,P1,VILLAGER
3c51e56e,1873482,neutral,WOLVES_WIN,5,False,False,3,9,P1,VILLAGER
950efb61,887829,strategic,VILLAGERS_WIN,2,True,False,1,0,P0,WOLF
5278a5f4,1873482,strategic,WOLVES_WIN,2,False,False,0,0,P1,VILLAGER
ad99d733,7242578,neutral,WOLVES_WIN,3,False,False,0,0,P5,SEER
5651aa4f,8087954,neutral,VILLAGERS_WIN,3,False,False,1,5,P5,WOLF
b1dc9389,2676392,neutral,WOLVES_WIN,2,False,False,1,0,P4,SEER
1422383d,5682558,neutral,WOLVES_WIN,3,False,True,1,3,P2,SEER
b402e3f5,2184945,neutral,VILLAGERS_WIN,2,True,False,1,0,P3,WOLF
1ba3715f,1200340,neutral,WOLVES_WIN,5,False,False,2,15,P3,SEER
ccbee285,5199154,strategic,WOLVES_WIN,4,False,False,2,1,P3,WOLF
73dfc367,2676392,strategic,WOLVES_WIN,3,True,False,1,5,P1,VILLAGER
bc0b73c1,42,strategic,VILLAGERS_WIN,4,True,True,4,14,P6,WOLF
9afbcccf,2184945,strategic,WOLVES_WIN,2,False,False,0,2,P6,SEER
03e12126,7242578,strategic,WOLVES_WIN,4,False,True,1,2,P4,VILLAGER
1148ba9c,5199154,neutral,VILLAGERS_WIN,3,True,False,2,6,P4,WOLF
f7b1306c,2283728,strategic,VILLAGERS_WIN,3,False,False,2,4,P4,WOLF
f4bf4faf,42,strategic,VILLAGERS_WIN,4,False,False,3,4,P1,VILLAGER
